sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
02002330,7.8,7.5,7.8,,,,6.75,8.0,8.25,N1
02002331,4.0,5.5,7.2,,,,8.25,8.0,9.0,N1
02002332,8.8,7.75,,6.25,8.5,8.25,,,,
02002333,8.2,7.75,8.0,3.75,5.75,4.75,,,,N1
02002334,8.0,7.0,9.2,6.0,5.5,7.25,,,,N1
02002335,7.6,6.0,8.8,8.0,8.25,5.0,,,,N1
02002336,7.8,6.5,8.4,7.5,5.5,7.0,,,,N1
02002337,8.4,7.5,8.8,6.5,8.0,7.25,,,,N1
02002338,8.2,6.25,6.0,5.25,8.5,8.75,,,,N1
02002339,8.8,8.0,8.6,5.75,8.25,5.75,,,,N1
02002340,6.4,6.5,9.6,5.25,3.25,6.25,,,,N1
02002341,7.4,6.25,8.0,5.0,5.0,5.5,,,,N1
02002342,7.0,7.0,9.2,7.25,7.5,6.0,,,,N1
02002343,8.0,6.5,8.2,4.5,5.75,5.0,,,,N1
02002344,8.2,7.0,8.8,5.75,7.5,7.0,,,,N1
02002345,5.0,3.5,3.4,,,,5.5,7.25,7.75,N3
02002346,7.2,6.5,8.8,6.25,5.5,6.25,,,,N1
02002347,7.6,7.0,9.4,,,,7.25,8.5,8.5,N1
02002348,8.2,6.0,9.8,6.75,7.0,6.0,,,,N1
02002349,8.6,6.5,9.4,8.0,8.0,7.5,,,,N1
02002350,5.8,7.0,4.2,,,,6.25,6.25,7.25,N3
02002351,7.2,8.25,5.4,,,,5.75,5.25,8.0,N1
02002352,8.6,5.5,7.2,5.75,7.5,8.75,,,,N1
02002353,8.2,7.75,8.6,7.5,6.25,6.5,,,,N1
02002354,6.2,7.25,8.8,,,,6.25,6.75,8.0,N1
02002355,8.4,8.25,8.6,6.25,7.0,7.25,,,,N1
02002356,6.0,7.0,9.0,,,,6.5,7.5,7.75,N1
02002357,8.0,8.0,7.4,6.5,4.25,5.25,,,,N1
02002358,8.2,6.75,8.4,7.75,8.5,6.25,,,,N1
02002359,6.6,8.0,7.0,,,,7.5,7.5,9.25,N1
02002360,6.8,6.25,6.4,,,,8.0,8.75,9.25,N1
02002361,8.0,7.5,9.2,,,,7.0,7.25,7.0,N6
02002362,8.2,8.5,7.6,8.25,6.25,7.5,,,,N1
02002363,5.2,7.0,8.6,5.25,6.5,6.5,,,,N1
02002364,4.8,6.5,8.8,,,,6.0,7.75,7.75,N1
02002365,8.0,6.75,9.4,,,,7.75,8.5,9.25,N1
02002366,7.2,7.75,9.0,,,,8.75,8.5,9.25,N1
02002367,6.8,8.0,8.0,4.75,5.25,6.0,,,,N1
02002368,6.4,7.25,,,,,8.0,8.0,8.25,
02002369,7.6,6.75,6.2,7.0,5.25,6.25,,,,N1
02002370,8.0,8.0,6.6,,,,5.75,6.5,8.5,N1
02002371,7.2,7.5,7.8,,,,7.0,8.0,8.0,N1
02002372,7.4,8.0,8.0,,,,5.25,7.5,8.75,N1
02002373,7.8,6.25,7.4,5.5,8.25,7.25,,,,N1
02002374,8.8,7.5,10.0,8.0,9.75,8.75,,,,N1
02002375,7.8,6.25,9.4,8.75,8.25,7.0,,,,N1
02002376,7.4,8.0,,7.25,7.0,6.25,,,,
02002377,6.2,6.0,7.6,6.5,7.0,3.5,,,,N1
02002378,8.0,7.75,8.4,5.75,6.25,5.75,,,,N1
02002379,5.6,6.75,5.8,,,,7.5,7.0,7.0,N3
02002380,7.2,7.0,,,,,7.75,6.75,7.75,
02002381,6.4,8.5,8.6,5.5,6.0,6.5,,,,N1
02002382,8.0,8.0,9.2,8.25,7.75,7.75,,,,N1
02002383,7.6,7.25,8.0,,,,7.25,7.25,8.75,N1
02002384,3.8,4.25,2.8,,,,3.75,4.5,8.5,N1
02002385,7.4,5.0,9.0,7.0,6.0,6.75,,,,N1
02002386,8.2,6.0,9.2,7.0,6.25,5.75,,,,N1
02002387,6.8,6.5,8.6,5.5,6.25,5.5,,,,N1
02002388,8.0,8.0,8.4,,,,7.5,7.5,7.25,N1
02002389,6.0,4.5,6.8,3.0,7.0,6.25,,,,N1
02002391,8.0,6.0,6.8,,,,8.25,8.25,8.25,N1
02002392,8.6,7.0,8.8,5.0,8.0,6.75,,,,N1
02002393,8.2,7.0,7.4,,,,7.0,8.5,8.5,N1
02002394,7.0,7.25,8.4,7.0,5.75,5.5,,,,N1
02002395,7.8,8.5,8.8,,,,7.75,8.25,9.25,N1
02002396,6.8,5.75,8.0,3.5,5.0,4.5,,,,N1
02002397,8.2,7.5,6.0,4.25,7.0,8.25,,,,N1
02002398,8.6,5.5,8.8,9.5,4.5,6.5,,,,N1
02002399,8.8,7.0,9.2,5.75,8.75,5.75,,,,N1
02002400,7.2,8.0,9.4,,,,8.0,9.0,9.25,N1
02002401,5.6,7.25,7.4,,,,9.0,9.5,9.0,N1
02002402,6.2,7.5,9.0,,,,7.0,9.0,8.5,N1
02002403,5.0,4.75,3.8,,,,5.25,5.75,6.0,N6
02002404,6.4,7.25,9.6,,,,7.5,6.5,7.5,N1
02002405,7.6,6.75,8.0,,,,6.75,8.5,9.25,N1
02002406,7.6,6.0,,7.5,5.5,5.75,,,,
02002407,6.8,8.25,,,,,7.75,8.75,9.75,
02002408,7.2,7.5,9.6,,,,6.75,9.0,8.25,N1
02002409,7.8,6.75,8.0,8.25,7.75,7.5,,,,N1
02002410,8.8,7.5,9.6,7.0,8.25,6.5,,,,N1
02002411,7.6,6.5,8.6,,,,7.0,8.0,7.5,N1
02002412,8.6,8.0,9.2,5.75,7.25,7.5,,,,N1
02002413,7.4,7.0,,6.25,7.25,6.5,,,,
02002414,7.8,6.75,7.0,,,,6.75,8.25,9.5,N1
02002415,7.6,8.0,7.6,,,,7.25,8.5,9.25,N7
02002416,7.6,7.75,8.6,6.25,6.5,8.0,,,,N1
02002417,6.8,5.5,6.8,7.0,3.25,7.25,,,,N1
02002418,6.0,7.75,5.4,3.0,6.75,7.0,,,,N3
02002419,7.6,7.25,9.0,8.0,7.25,6.5,,,,N1
02002420,6.6,6.75,7.4,,,,5.25,6.0,8.0,N1
02002421,7.8,7.25,8.6,,,,7.5,8.5,9.25,N1
02002422,8.4,6.75,8.6,7.0,4.0,6.75,,,,N1
02002423,7.0,6.25,9.0,,,,7.75,8.0,9.5,N1
02002424,7.4,3.75,8.4,6.0,7.75,5.0,,,,N1
02002425,6.0,8.5,6.0,,,,7.0,8.25,8.0,N3
02002426,4.6,7.5,5.6,,,,6.5,6.75,7.25,N1
02002427,6.2,8.25,7.8,,,,8.75,8.25,8.25,N1
02002428,8.8,7.5,8.8,6.0,9.0,8.75,,,,N1
02002429,7.8,7.5,8.8,,,,6.0,8.0,8.75,N1
02002430,7.2,8.0,8.8,,,,6.75,7.5,9.0,N1
02002431,7.4,8.25,9.0,,,,8.25,8.0,8.25,N1
02002432,7.0,6.75,8.8,,,,5.75,6.5,8.5,N1
02002433,7.6,7.25,9.2,4.75,7.0,7.0,,,,N1
02002434,8.2,6.25,9.4,7.0,6.25,6.5,,,,N1
02002435,7.2,6.25,7.6,6.5,9.5,7.5,,,,N1
02002436,8.6,7.25,8.6,4.75,8.5,5.5,,,,N1
02002437,6.0,8.25,8.4,,,,8.5,7.5,8.25,N1
02002438,6.4,7.5,7.4,5.25,7.25,5.5,,,,N1
02002439,7.0,8.0,7.4,8.0,3.5,5.0,,,,N1
02002440,7.8,6.25,9.6,8.25,8.0,6.75,,,,N1
02002441,8.0,6.25,7.6,8.0,7.5,5.25,,,,N1
02002442,7.8,7.75,7.6,7.0,5.75,5.25,,,,N1
02002443,7.8,7.5,7.8,7.25,6.0,5.75,,,,N1
02002444,6.8,6.75,7.6,5.75,7.25,5.25,,,,N1
02002445,6.4,6.75,4.8,4.25,4.0,4.5,,,,N1
02002446,7.8,7.25,8.2,7.0,7.5,6.0,,,,N1
02002447,7.0,7.0,7.4,4.75,6.0,7.25,,,,N1
02002448,6.4,6.0,7.4,4.0,4.75,5.25,,,,N1
02002449,7.4,6.25,8.4,,,,6.75,8.5,9.5,N1
02002450,7.2,7.0,8.8,,,,4.75,5.75,6.5,N1
02002451,7.8,7.75,8.2,,,,6.25,7.5,8.25,N1
02002452,8.4,6.0,5.0,7.25,8.75,5.75,,,,N1
02002453,7.2,6.0,7.4,4.25,3.5,4.25,,,,N1
02002454,8.0,6.0,9.0,7.75,6.75,7.0,,,,N1
02002455,7.8,7.25,8.2,6.5,6.75,5.75,,,,N1
02002456,8.6,8.75,8.8,5.25,6.0,6.5,,,,N1
02002457,7.8,7.75,10.0,8.5,8.5,8.0,,,,N1
02002458,6.6,8.0,9.6,2.5,4.25,4.75,,,,N1
02002459,7.6,6.5,8.4,5.0,7.75,6.25,,,,N1
02002460,7.4,8.25,9.4,,,,8.0,7.75,8.5,N1
02002461,8.8,7.5,8.8,4.25,8.75,8.0,,,,N1
02002462,8.0,8.25,9.0,,,,5.5,6.25,8.5,N1
02002463,8.6,7.5,9.2,4.5,8.5,9.25,,,,N1
02002464,8.2,7.0,9.0,8.25,5.75,5.75,,,,N1
02002465,7.0,7.75,7.2,8.5,5.25,4.75,,,,N1
02002466,8.4,8.5,8.8,7.0,5.0,5.25,,,,N1
02002467,7.0,7.25,8.0,,,,6.5,7.75,7.25,N1
02002468,7.6,6.5,7.6,,,,6.25,6.75,8.5,N1
02002469,8.6,8.25,8.8,7.5,7.0,5.75,,,,N1
02002470,8.6,7.5,8.2,6.25,4.75,6.5,,,,N1
02002471,7.0,8.0,9.2,6.25,6.75,6.0,,,,N1
02002472,7.4,8.0,9.0,5.5,5.5,5.5,,,,N1
02002473,8.6,7.0,8.8,7.75,8.25,7.0,,,,N1
02002474,6.4,5.0,6.0,6.0,6.25,4.25,,,,N1
02002475,7.2,6.0,5.4,4.5,6.75,5.75,,,,N1
02002476,8.0,7.25,8.2,7.25,5.25,6.0,,,,N1
02002477,6.6,6.25,9.4,7.0,7.25,5.75,,,,N1
02002478,9.0,6.0,10.0,7.75,8.5,7.0,,,,N1
02002479,5.8,4.25,5.8,5.0,4.25,5.25,,,,N1
02002480,7.8,6.5,8.6,9.0,8.75,8.5,,,,N1
02002481,8.4,5.0,9.4,7.25,4.5,8.0,,,,N1
02002482,8.0,6.5,7.8,,,,6.5,7.0,8.25,N1
02002483,8.2,7.5,9.0,8.75,6.75,7.0,,,,N1
02002484,6.8,8.5,6.8,,,,7.0,7.5,8.0,N1
02002485,7.0,5.75,4.2,,,,5.25,7.25,6.75,N1
02002486,7.4,7.0,9.2,6.5,9.5,7.5,,,,N1
02002487,8.0,5.0,8.4,5.0,4.25,6.75,,,,N1
02002488,6.6,6.0,4.8,4.75,6.5,5.25,,,,N1
02002489,7.6,6.75,7.6,4.5,7.25,7.75,,,,N1
02002490,6.0,6.75,,,,,4.25,7.75,6.75,
02002491,8.0,5.25,8.4,8.0,8.0,6.75,,,,N1
02002492,8.0,4.0,9.2,7.0,6.25,6.75,,,,N1
02002493,8.2,7.0,8.8,6.0,6.0,6.5,,,,N1
02002494,7.4,6.75,7.2,7.5,6.5,5.0,,,,N1
02002495,8.0,6.0,8.0,6.25,4.5,6.75,,,,N1
02002496,8.4,5.0,7.6,6.75,6.25,8.0,,,,N1
02002497,7.4,5.75,8.4,8.5,6.5,7.5,,,,N1
02002498,8.2,8.0,,6.75,8.5,5.0,,,,
02002499,6.4,4.75,,,,,5.75,8.75,9.0,
02002500,8.6,7.25,8.8,8.25,7.25,6.0,,,,N1
02002501,8.8,7.0,8.8,7.75,6.75,5.25,,,,N1
02002502,7.8,5.75,5.2,8.0,8.25,6.5,,,,N1
02002503,7.2,6.0,9.2,6.0,7.0,5.25,,,,N1
02002504,7.0,5.5,7.6,8.25,5.25,6.5,,,,N1
02002505,7.4,6.0,9.0,6.5,7.75,7.0,,,,N1
02002506,8.4,5.5,8.6,5.25,4.75,5.25,,,,N1
02002507,8.2,5.5,7.4,7.25,7.5,6.5,,,,N1
02002508,7.4,7.0,,3.75,5.25,6.25,,,,
02002509,8.0,6.75,7.8,8.5,8.25,4.5,,,,N1
02002510,8.0,7.0,,6.0,6.0,7.75,,,,
02002511,8.6,6.5,5.4,8.0,7.5,8.0,,,,N3
02002512,8.4,7.25,5.0,8.5,8.25,6.25,,,,N1
02002513,8.0,5.0,9.6,8.75,7.0,7.25,,,,N1
02002514,7.4,5.25,9.2,3.0,7.5,5.25,,,,N1
02002515,6.8,7.25,7.8,,,,7.25,8.25,8.5,N1
02002516,8.2,8.0,9.6,8.5,5.25,5.75,,,,N1
02002517,7.2,5.5,10.0,7.5,7.25,6.5,,,,N1
02002518,6.2,6.75,8.0,4.25,4.75,6.25,,,,N1
02002519,7.8,6.5,6.6,,,,6.75,8.75,8.25,N1
02002520,6.2,6.75,6.0,4.25,6.5,4.25,,,,N1
02002521,8.6,6.5,8.6,6.25,9.25,7.0,,,,N1
02002522,8.4,7.25,8.8,8.0,6.0,5.5,,,,N1
02002523,7.2,5.75,8.6,8.75,3.75,5.75,,,,N1
02002524,7.0,7.25,9.2,5.75,8.75,7.5,,,,N1
02002525,8.4,6.25,7.6,8.5,8.25,4.5,,,,N1
02002526,7.2,4.5,5.2,6.75,7.0,6.25,,,,N1
02002527,7.0,6.25,4.2,5.25,6.5,6.5,,,,N1
02002528,6.8,6.5,6.8,5.75,5.25,6.25,,,,N1
02002529,7.8,4.25,3.8,7.25,5.5,6.25,,,,N1
02002530,7.2,8.0,8.6,7.0,8.75,7.0,,,,N1
02002531,8.4,7.75,8.0,7.5,8.75,8.5,,,,N1
02002532,8.0,6.5,6.8,8.25,5.5,7.0,,,,N1
02002533,7.2,8.0,7.2,6.75,7.0,6.5,,,,N1
02002534,7.4,7.0,8.4,8.0,7.75,7.0,,,,N1
02002535,8.4,7.0,8.6,7.75,6.5,5.0,,,,N1
02002536,7.6,7.0,9.4,7.0,6.25,7.0,,,,N1
02002537,6.8,5.0,9.2,5.0,5.75,5.75,,,,N1
02002538,6.8,6.0,8.2,6.75,6.75,6.25,,,,N1
02002539,7.8,7.25,6.0,7.25,6.75,5.75,,,,N1
02002540,7.2,7.5,7.4,4.0,7.0,7.0,,,,N1
02002541,8.6,7.75,7.6,7.0,7.5,6.0,,,,N1
02002542,7.2,6.5,7.8,8.5,4.5,6.25,,,,N1
02002543,7.2,7.25,8.4,6.0,4.5,7.75,,,,N1
02002544,7.0,6.25,7.8,6.5,6.75,5.25,,,,N1
02002545,5.6,4.75,5.6,4.75,5.25,4.0,,,,N1
02002546,7.8,6.0,7.6,5.5,5.5,6.5,,,,N1
02002547,8.4,8.25,9.2,8.5,6.75,7.5,,,,N1
02002548,6.8,7.0,5.4,6.0,5.0,5.0,,,,N1
02002549,5.8,7.5,6.4,7.0,6.25,6.25,,,,N1
02002550,7.0,8.5,9.6,3.5,7.0,8.0,,,,N1
02002551,8.2,7.0,8.2,5.0,7.25,7.0,,,,N1
02002552,6.8,7.0,5.6,7.25,7.0,5.75,,,,N1
02002553,8.8,7.75,7.0,8.0,6.0,8.0,,,,N1
02002554,8.8,6.25,9.0,8.25,8.0,5.75,,,,N1
02002555,6.6,7.25,8.6,7.0,6.75,5.5,,,,N1
02002556,7.6,6.75,9.0,6.25,4.0,6.25,,,,N1
02002557,7.8,6.0,9.2,2.25,7.5,8.5,,,,N1
02002558,7.8,6.75,7.6,7.75,7.75,7.25,,,,N1
02002559,8.6,7.5,9.2,8.25,4.25,5.75,,,,N1
02002560,7.6,7.0,8.8,5.5,7.5,8.25,,,,N1
02002561,8.4,8.5,9.4,6.5,5.75,7.25,,,,N1
02002562,7.8,7.0,9.8,6.5,4.25,7.75,,,,N1
02002563,8.0,5.5,8.4,5.5,4.75,8.0,,,,N1
02002564,7.6,6.0,9.2,7.0,7.0,4.75,,,,N1
02002565,8.6,5.5,8.0,7.75,6.25,5.0,,,,N1
02002566,8.4,7.0,7.8,5.0,3.75,5.5,,,,N1
02002567,7.4,5.75,2.6,2.5,8.75,8.5,,,,N1
02002568,7.6,6.25,9.2,5.25,8.0,5.0,,,,N1
02002569,8.6,5.5,9.0,9.0,9.0,7.0,,,,N1
02002570,7.6,5.75,8.4,7.0,3.25,6.25,,,,N1
02002571,8.0,7.75,8.8,5.25,4.75,7.75,,,,N1
02002572,8.6,5.75,9.0,7.5,6.5,5.5,,,,N1
02002573,7.0,5.25,7.8,6.25,3.5,4.75,,,,N1
02002574,8.0,8.5,9.0,5.75,6.0,5.75,,,,N1
02002575,7.4,5.0,7.4,6.0,5.0,5.75,,,,N1
02002576,8.0,7.75,8.6,8.5,8.75,6.25,,,,N1
02002577,8.2,5.5,7.0,6.5,6.25,8.0,,,,N1
02002578,6.8,7.25,6.8,5.5,5.25,4.5,,,,N1
02002579,8.0,4.5,8.0,8.0,9.25,5.5,,,,N1
02002580,8.4,7.25,7.8,5.0,8.25,8.5,,,,N1
02002581,7.4,5.75,9.4,7.0,6.75,7.0,,,,N1
02002582,6.6,6.25,7.8,5.0,6.0,6.5,,,,N1
02002583,8.0,6.25,9.4,5.5,6.75,5.5,,,,N1
02002584,7.2,7.75,6.6,3.5,7.0,6.0,,,,N1
02002585,7.6,8.0,9.4,6.5,4.75,3.75,,,,N1
02002586,7.6,7.25,5.0,5.75,6.5,5.75,,,,N1
02002587,7.2,5.5,9.0,7.5,6.0,6.5,,,,N1
02002588,7.6,6.25,9.4,8.0,6.75,7.75,,,,N1
02002589,7.8,7.75,9.6,5.0,7.0,7.5,,,,N1
02002590,7.4,6.75,7.6,7.5,7.5,5.25,,,,N1
02002591,6.8,8.0,9.0,7.25,7.5,7.75,,,,N1
02002592,8.0,7.25,9.2,6.25,8.5,8.25,,,,N1
02002593,7.4,8.0,8.8,6.75,4.25,4.0,,,,N1
02002594,8.4,7.5,8.6,6.0,8.25,8.0,,,,N1
02002595,8.0,8.0,5.2,8.75,6.75,8.0,,,,N1
02002596,7.0,6.0,9.2,4.25,8.0,6.0,,,,N1
02002597,7.6,6.0,8.2,4.25,8.25,8.0,,,,N1
02002598,8.4,5.5,7.0,4.5,8.75,8.25,,,,N1
02002599,8.6,7.5,8.8,8.0,8.5,7.5,,,,N1
02002600,6.2,6.75,4.0,,,,5.75,6.75,7.5,N3
02002601,6.6,6.75,5.4,,,,8.0,7.5,8.75,N1
02002602,7.4,6.0,9.4,6.25,5.5,5.25,,,,N1
02002603,8.2,3.75,9.0,6.75,9.25,7.0,,,,N1
02002604,8.0,5.75,6.6,7.75,7.5,5.5,,,,N1
02002605,7.8,8.5,8.2,6.75,4.75,6.25,,,,N1
02002606,6.0,5.5,8.6,,,,7.75,8.0,9.5,N1
02002607,6.2,6.5,8.2,,,,7.75,8.75,9.0,N1
02002608,8.2,6.0,6.4,6.0,8.0,6.75,,,,N1
02002609,7.4,5.75,5.6,4.25,5.5,3.5,,,,N1
02002610,7.6,6.25,8.0,8.5,7.75,7.25,,,,N1
02002611,6.0,6.5,7.8,,,,7.75,7.75,7.75,N1
02002612,5.8,6.75,7.6,,,,6.5,7.0,8.5,N1
02002613,7.2,7.5,7.4,,,,8.75,8.5,9.0,N1
02002614,7.2,7.0,8.8,5.5,6.5,6.75,,,,N1
02002615,7.4,7.5,9.2,7.25,4.75,7.25,,,,N1
02002616,6.8,6.75,,6.0,8.0,4.75,,,,
02002617,6.6,7.5,8.8,,,,7.25,7.0,9.0,N1
02002618,8.2,8.25,8.0,7.0,6.75,4.25,,,,N1
02002619,6.0,6.0,5.6,5.0,2.5,5.5,,,,N1
02002620,5.6,8.0,3.6,,,,7.75,8.5,8.5,N1
02002621,6.2,6.5,7.4,5.5,4.25,4.25,,,,N1
02002622,7.2,4.25,7.6,2.25,7.25,6.75,,,,N1
02002623,7.6,6.25,8.2,4.5,9.0,8.25,,,,N1
02002624,7.0,7.5,8.0,,,,5.75,4.75,8.25,N1
02002625,7.0,6.75,8.0,5.0,2.75,5.5,,,,N1
02002626,7.2,6.25,7.8,,,,8.0,7.75,9.5,N1
02002627,7.6,7.5,8.4,4.75,4.75,6.5,,,,N1
02002628,7.6,5.5,5.8,7.5,7.75,3.5,,,,N1
02002629,7.8,7.0,6.8,6.25,6.25,8.25,,,,N1
02002630,6.2,8.5,7.4,,,,6.0,6.5,8.25,N1
02002631,6.6,7.75,7.6,,,,6.25,6.25,7.5,N1
02002632,5.2,8.25,4.4,,,,7.25,7.5,9.25,N1
02002633,7.6,5.75,8.2,7.75,7.75,6.75,,,,N1
02002634,7.6,6.75,6.0,3.5,9.0,8.5,,,,N3
02002635,9.0,7.75,8.6,7.75,5.5,6.5,,,,N1
02002636,8.4,8.25,9.4,,,,6.5,8.0,8.75,N1
02002637,7.6,7.25,8.8,5.25,7.75,6.0,,,,N1
02002638,8.0,8.5,9.2,,,,8.0,7.0,9.25,N1
02002639,6.4,7.25,7.0,,,,6.25,8.25,9.25,N1
02002640,7.0,7.0,6.8,5.25,5.25,6.25,,,,N1
02002641,6.8,6.5,6.8,,,,8.25,8.5,9.0,N1
02002642,7.8,5.5,8.6,5.0,9.5,7.75,,,,N1
02002643,5.6,6.5,8.4,,,,7.25,6.5,9.0,N1
02002644,7.6,7.0,9.0,,,,6.25,6.5,7.5,N1
02002645,6.0,5.75,4.6,,,,7.0,8.0,9.0,N1
02002646,6.2,7.75,5.8,,,,6.0,7.75,8.25,N3
02002647,6.2,7.25,7.0,6.5,6.0,3.5,,,,N1
02002648,6.2,6.5,7.2,,,,5.25,7.0,9.25,N1
02002649,8.4,7.5,9.2,7.5,5.25,5.5,,,,N1
02002650,6.8,6.5,5.4,,,,7.25,6.75,8.75,N1
02002651,7.0,6.5,,4.25,7.0,8.0,,,,
02002652,6.8,7.75,8.6,,,,7.75,8.0,8.75,N1
02002653,6.8,7.5,7.8,,,,7.25,7.0,7.75,N3
02002654,6.6,5.0,7.2,7.0,2.25,4.75,,,,N1
02002655,7.0,7.5,9.6,,,,7.75,7.0,9.5,N1
02002656,7.6,7.25,8.8,7.75,6.75,6.25,,,,N1
02002657,7.8,7.5,8.6,8.25,6.25,8.0,,,,N1
02002658,7.8,6.5,3.6,6.25,6.5,4.75,,,,N1
02002659,6.4,7.5,8.8,,,,6.75,7.75,8.25,N1
02002660,7.4,8.5,,7.75,5.25,7.75,,,,
02002661,5.8,6.75,7.2,,,,6.5,7.25,7.25,N1
02002662,8.0,6.5,8.2,7.25,6.0,7.0,,,,N1
02002663,8.0,6.75,8.0,6.25,7.75,7.25,,,,N1
02002664,6.2,7.25,7.8,4.5,4.5,5.75,,,,N1
02002665,6.6,7.0,9.4,,,,8.0,7.0,8.5,N1
02002666,7.6,8.0,5.6,,,,7.5,8.5,9.0,N1
02002667,8.6,8.0,9.2,8.25,9.25,8.25,,,,N1
02002668,7.6,7.75,9.6,7.75,7.75,6.75,,,,N1
02002669,8.2,7.75,8.6,8.75,7.75,7.0,,,,N1
02002670,8.0,7.75,8.8,6.75,8.0,7.5,,,,N1
02002671,7.4,6.75,9.4,4.25,6.0,6.75,,,,N1
02002672,8.0,7.75,8.4,,,,6.75,8.25,8.25,N1
02002673,7.4,6.25,5.8,5.75,5.25,7.0,,,,N1
02002674,5.8,6.25,6.6,,,,7.75,8.0,8.75,N3
02002675,7.8,7.0,7.6,8.25,5.75,5.0,,,,N1
02002676,8.4,6.0,8.6,5.5,8.0,5.0,,,,N1
02002677,8.0,7.0,6.4,5.5,8.25,8.0,,,,N1
02002678,7.2,8.0,8.4,7.0,7.75,6.75,,,,N1
02002679,8.0,7.75,9.0,,,,8.25,8.5,9.5,N1
02002680,7.8,8.75,9.0,7.25,6.0,6.5,,,,N1
02002681,7.6,7.25,8.8,4.75,3.25,6.25,,,,N1
02002682,5.8,7.5,8.6,5.75,6.75,6.5,,,,N1
02002683,6.0,6.5,6.4,,,,5.0,6.75,8.75,N1
02002684,7.0,7.0,7.6,6.25,8.0,7.5,,,,N1
02002685,6.6,7.0,7.6,,,,5.25,5.25,7.75,N1
02002686,8.2,7.0,8.4,5.5,9.0,8.5,,,,N1
02002687,7.6,8.25,9.2,,,,7.25,7.5,9.25,N1
02002688,7.4,7.25,8.8,7.25,6.5,6.5,,,,N1
02002689,8.0,7.25,8.4,,,,7.5,7.0,8.25,N1
02002690,7.8,6.5,9.4,,,,5.75,6.25,8.5,N1
02002691,7.0,8.0,6.8,3.0,6.0,5.25,,,,N1
02002692,6.6,8.0,5.2,7.25,6.75,4.5,,,,N1
02002693,6.4,6.0,5.4,,,,7.0,6.75,8.75,N1
02002694,7.6,7.25,8.6,7.25,8.0,6.5,,,,N1
02002695,7.0,5.5,8.6,,,,4.5,6.75,7.5,N1
02002696,6.2,6.75,8.2,,,,7.25,6.75,8.25,N1
02002697,8.2,6.0,8.6,6.5,8.75,6.5,,,,N1
02002698,8.0,8.25,9.0,8.0,7.0,5.75,,,,N1
02002699,7.4,8.0,7.8,,,,6.0,7.75,8.75,N1
02002700,8.6,8.5,9.0,,,,7.25,8.5,8.25,N1
02002701,7.4,8.75,7.0,4.25,4.75,6.75,,,,N1
02002702,7.4,7.0,6.8,,,,6.25,8.25,9.0,N1
02002703,6.6,7.25,7.8,,,,7.25,7.25,8.25,N1
02002704,8.6,7.0,9.4,8.5,5.75,5.75,,,,N1
02002705,7.4,6.5,4.8,4.25,6.5,5.75,,,,N1
02002706,7.6,8.0,5.4,8.5,8.0,7.25,,,,N1
02002707,8.4,7.5,8.2,8.25,6.75,7.25,,,,N1
02002708,7.4,6.5,8.6,5.25,7.75,5.75,,,,N1
02002709,9.0,7.5,9.2,8.0,8.25,7.75,,,,N1
02002710,7.8,6.5,5.8,8.5,8.25,5.25,,,,N1
02002711,7.2,7.0,7.2,6.25,6.0,5.0,,,,N1
02002712,7.6,5.0,8.2,8.0,8.75,6.5,,,,N1
02002713,8.6,6.5,9.4,8.75,6.25,7.5,,,,N1
02002714,6.2,5.0,9.0,,,,7.0,7.0,8.5,N1
02002715,5.0,5.75,4.4,,,,7.0,5.5,7.0,N3
02002716,7.6,6.75,9.2,7.25,7.25,8.0,,,,N1
02002717,7.0,8.5,7.2,,,,6.5,6.25,8.75,N1
02002718,7.8,5.25,8.8,7.75,5.0,4.75,,,,N1
02002719,7.6,8.25,8.4,7.5,7.25,7.5,,,,N1
02002720,8.0,7.25,7.6,6.25,4.5,5.0,,,,N1
02002721,8.4,8.25,8.6,5.25,7.25,8.0,,,,N1
02002722,7.4,7.75,7.6,,,,8.5,8.75,9.5,N1
02002723,6.4,7.5,6.8,,,,8.5,8.75,9.0,N1
02002724,6.4,7.25,8.8,,,,7.25,8.0,9.25,N1
02002725,7.8,8.5,8.2,,,,6.25,7.75,9.75,N1
02002726,8.4,7.5,8.0,5.25,9.5,8.0,,,,N1
02002727,8.0,6.5,5.4,4.75,7.25,4.25,,,,N1
02002728,7.2,8.5,6.8,7.25,6.75,5.75,,,,N1
02002729,6.6,6.75,7.4,2.75,6.5,6.5,,,,N1
02002730,7.6,7.5,8.0,7.25,5.25,6.0,,,,N1
02002731,4.2,8.5,9.4,,,,6.5,8.5,9.25,N1
02002732,7.0,9.25,7.6,,,,7.75,6.25,8.75,N1
02002733,8.0,7.5,8.6,,,,7.75,7.0,9.25,N1
02002734,4.8,7.5,9.2,,,,7.75,7.75,8.25,N1
02002735,7.2,6.5,8.4,5.75,6.5,5.75,,,,N1
02002736,8.0,6.75,8.8,6.75,3.5,5.25,,,,N1
02002737,6.6,7.5,7.2,,,,6.25,7.25,8.75,N1
02002738,6.6,8.25,8.0,5.75,4.5,6.75,,,,N1
02002739,7.2,8.25,9.0,7.25,5.25,6.75,,,,N1
02002740,7.2,6.25,8.4,7.75,7.25,5.5,,,,N1
02002741,6.2,8.0,7.8,,,,7.0,7.5,9.0,N1
